name,min_score,push_n,push_hit,push_fwd3,push_fwd_max3,push_win_rate,max_trailing_10,min_limit_up_gene,min_shortterm
严格+追高+涨停基因,40,631,0.23267326732673269,0.007016303000777159,0.08226412929864695,0.44849445324881143,0.15,6.0,
高确信+追高+涨停基因,35,639,0.23127035830618892,0.006256311084199806,0.08195089559366966,0.4460093896713615,0.15,6.0,
严格(总分≥40),40,3366,0.18896639188332276,0.004025033942111069,0.07074662717349035,0.43404634581105167,,,
高确信(总分≥35),35,3483,0.18618159584225008,0.0034241140786124735,0.06993573487225223,0.43209876543209874,,,
当前规则,30,3577,0.1827637444279346,0.0026563077043723657,0.06899122146937785,0.42717360916969527,,,
严格+追高限制,40,2406,0.1467065868263473,0.0001672738411928049,0.06319118332529855,0.4314214463840399,0.15,,
高确信+追高限制,35,2521,0.144720750101916,-0.0004875340679706322,0.062452918603813086,0.4287980959936533,0.15,,
当前+追高限制,30,2615,0.14173537495092264,-0.001357566860879605,0.0614812252895457,0.42217973231357553,0.15,,
极严格(≥45+低追高),45,1979,0.14137214137214138,0.0008374060239778423,0.06277281290082232,0.4335522991409803,0.1,,
短线强+低追高,30,0,0.0,0.0,0.0,0.0,0.15,,50.0
短线强+涨停基因+低追高,30,0,0.0,0.0,0.0,0.0,0.15,6.0,50.0
