code,date,fundamental,technical,fundflow,sentiment,shortterm,total,pct_chg_score_day,resonance_count,is_resonance,fwd_ret_1,fwd_ret_3,fwd_max_3,hit_limit_3,trailing_5,trailing_10,_aligned,high_10d,high_20d,low_10d,low_20d,pullback_10d,pullback_20d,position_20d,max_pct_chg_5d,max_pct_chg_10d,min_pct_chg_5d,avg_pct_chg_5d,pct_chg_std_5d,pct_chg_std_10d,avg_vol_5d,avg_vol_10d,avg_amount_5d,vol_ratio_proxy,amount_ratio,amount_3d_increasing,consecutive_up,consecutive_down,gap_up,gap_up_bool,reversal_signal,limit_up_count_5d,limit_up_count_10d,limit_up_count_20d,limit_up_count_60d,vol_price_divergence,amplitude,upper_shadow_pct,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,free_share,net_mf_amount,net_mf_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_sm_amount,sell_sm_amount,earnings_yield,book_yield,log_circ_mv,turnover_healthy,net_mf_ratio,lg_buy_sell_ratio,elg_net,cpt_ret_1d_max,cpt_ret_3d_max,cpt_ret_5d_max,cpt_up_streak_max,cpt_turn_5d_max,cpt_ret_1d_avg,cpt_ret_3d_avg,cpt_ret_5d_avg,cpt_up_streak_avg,cpt_turn_5d_avg,n_concepts,cpt_up_ratio,inst_net_amount,inst_buy_amount,inst_sell_amount,inst_trade_count,n_inst_buyers,inst_buy_ratio,has_inst_net_buy,inst_score,tl_net_amount,tl_buy_amount,tl_sell_amount,tl_turnover,tl_pct_change,is_top_list,tl_quality
000021.SZ,20260615,54.0,0.0,7.0,20.0,9.8,12.781249999999998,6.3,0.0,0,0.0329364073980238,0.115784139853053,0.1700025335697998,0.0,0.115917444161719,0.0834477079330222,True,40.55,47.03,34.85,34.85,0.0266337854500616,0.1607484584307889,0.379310344827586,6.4168,6.4168,-5.0921,2.4214,4.160199160617194,4.477886836053363,1328160.4260000002,1430231.833,5066042.768716,0.9998232924310906,1.0072567427482095,0.0,1.0,0.0,2.129954165543269,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.19627932057158,0.9868421052631956,54.7165,4.6511,6214037.6006,6213127.0277,8.4359,12.823,1.02,103558.0303,85842.45,220002.0,127544.16,,123411.13,321680.0,96575.55,249883.0,75125.33,195585.0,132077.25,,0.0182760227719243,0.2150029025391843,15.642174874306004,1.0,0.0138163037094346,0.0,,7.6966,6.1561,11.074200000000001,2.0,8.5102328,5.711966666666666,4.331508333333334,6.701800000000001,1.0833333333333333,5.970766483333333,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260616,54.0,26.0,23.0,41.0,11.0,29.21951219512196,3.3,0.0,0,0.0524895756683834,0.1449595290654892,0.1528084375766494,0.0,0.086041555673948,0.0965572888649812,True,41.34,47.03,34.85,34.85,0.013788098693759,0.1331065277482457,0.4860426929392448,6.4168,6.4168,-5.0921,1.8531,3.791849838271553,4.523181843171906,1416486.27,1429723.556,5509444.070446,1.1036886647690556,1.1502968424701636,0.0,2.0,0.0,0.7093995439574341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0537116797567805,35.624999999999986,56.5187,4.8043,6418705.6746,6417765.1107,9.9315,15.0965,1.18,103558.0303,10747.29,25696.0,182594.32,,181322.98,447220.0,110858.08,273074.0,106821.0,263833.0,146345.95,,0.0176932590452363,0.2081468684303644,15.674580501462408,1.0,0.0016746156667656,0.0,,4.662,9.8871,9.132100000000001,3.0,7.780391800000001,2.9107,7.297191666666667,5.366566666666667,2.0833333333333335,5.866385283333333,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260617,54.0,25.0,31.0,30.0,11.8,16.47586206896552,5.2,0.0,0,0.0263341878350036,0.0650198089023539,0.133768352365416,0.0,0.1128112033195019,0.1203655352480417,True,42.96,47.03,34.85,34.85,0.0011638733705773,0.0876036572400596,0.6617405582922821,6.4168,6.4168,-5.0921,2.35948,4.034703539741179,4.665897068088837,1457918.908,1407143.481,5802200.6583980005,1.135132723033454,1.1981799212765392,1.0,3.0,0.0,-2.256561196958551,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.628157959283785,1.6077170418007805,59.4853,5.0565,6755620.8118,6754630.8781,10.5132,15.9807,1.17,103558.0303,45774.82,107802.0,213591.08,508513.0,201315.94,479344.0,126289.74,300548.0,111524.44,265638.0,142752.85,161395.15,0.0168108759643138,0.1977652526451102,15.72573888363468,1.0,0.0067768055466083,1.06096923587255,14765.300000000005,5.4815,14.736500000000003,13.269200000000001,4.0,7.5768548,3.1936166666666668,11.816283333333333,10.435825000000001,3.0833333333333335,5.91843825,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260618,54.0,25.0,20.0,38.0,9.5,25.382978723404257,2.5,0.0,0,0.0599455040871934,0.1414623069936422,0.1414623069936422,1.0,0.1269191402251792,0.1098790322580645,True,46.18,47.03,34.85,34.85,0.0463404071026418,0.063576440569849,0.7545155993431854,6.4168,6.4168,-5.0921,2.50014,4.029538486526714,4.627164943688522,1575491.4300000002,1429472.938,6445733.19952,1.1971497934457185,1.277808260826456,1.0,4.0,0.0,-0.1398275460265607,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.018876718713582,55.29715762273907,61.0518,5.1896,6933524.5992,6932508.5964,11.9818,18.213,1.29,103558.0303,17130.85,39229.0,233101.78,533831.0,245079.27,560996.0,148963.13,340432.0,153943.34,352842.0,187804.82,168197.44,0.0163795334453693,0.1926930784646215,15.751732296485724,1.0,0.0024710896152218,0.9511242173839616,-4980.209999999992,2.3073,9.7528,14.826,5.0,7.9774282,1.6255166666666667,7.7298333333333344,12.116325000000002,3.75,6.240658083333333,12.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260619,54.0,29.0,16.0,30.0,10.2,26.081632653061224,2.6,0.0,0,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260622,54.0,29.0,16.0,0.0,11.0,19.103448275862068,5.9,0.0,0,-0.0209940017137959,0.1396743787489289,0.1625964010282776,1.0,0.2585602588298732,0.2242328874901651,True,47.0,47.03,34.85,34.85,0.0068085106382978,0.0074420582606846,0.9712643678160918,6.4168,6.4168,2.6334,4.717479999999999,1.4947950473559912,4.482675569969346,1671514.9600000002,1485733.452,7084012.828985999,1.1518045462183597,1.241001540197433,1.0,5.0,0.0,2.997275204359684,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.630336058128977,10.958904109589044,64.7116,5.5007,7349158.2264,7348081.3188,12.2305,18.5911,1.22,103558.0303,6163.46,11339.0,257644.97,564293.0,256363.69,561619.0,168769.6,369407.0,165126.13,361934.0,186071.98,179444.78,0.0154531799553712,0.1817950442670932,15.809949792049602,1.0,0.0008387849470624,1.0049939794750986,3643.470000000001,4.6709,9.5873,19.4403,6.0,7.9615038,1.941025,6.760158333333333,15.382824999999999,4.75,6.280304133333334,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260623,54.0,36.0,30.0,39.0,14.2,25.51785714285713,2.4,0.0,0,0.1,0.1708971553610501,0.2610503282275711,1.0,0.1578413985305296,0.2920554141928189,True,48.65,48.65,35.79,34.85,0.0606372045220965,0.0606372045220965,0.7862318840579713,5.9946,6.4168,-2.0994,3.01424,2.8372202294499456,3.573010307793696,1760608.12,1544384.273,7705678.997626001,1.0072607923675827,1.0655954632381808,0.0,0.0,1.0,-1.3496143958869,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.747215081405306,57.14285714285721,63.353,5.3852,7194869.986,7193815.687,11.2658,17.1246,1.06,103558.0303,6411.97,10500.0,230134.91,496530.0,249650.28,539805.0,138314.32,297869.0,164354.19,354663.0,191822.59,156980.98,0.0157845721591716,0.1856941246378964,15.788732282531406,1.0,0.0008913169698783,0.9218254759198512,-26039.869999999995,-0.7552,3.365,9.3473,0.0,8.3268898,-2.3396500000000002,1.226891666666667,7.3312083333333335,0.0,6.6141423999999995,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260624,54.0,32.0,19.0,23.0,13.5,22.116071428571427,9.3,0.0,0,0.0582852595981697,,,,0.2330144714250674,0.3391049547149707,True,50.27,50.27,36.28,34.85,0.0,0.0,1.0,10.0,10.0,-2.0994,4.35552,3.99941830090327,4.092952777018079,1829934.834,1623210.552,8271283.31071,1.0437494136471528,1.1081131354250808,0.0,1.0,0.0,-2.9321663019693744,0.0,0.0,1.0,1.0,1.0,2.0,0.0,12.932166301969373,0.0,69.6883,5.9238,7914356.9846,7913197.2557,12.1336,18.4437,1.08,103558.0303,159030.77,327779.0,249179.96,521438.0,257120.94,536380.0,286242.35,588213.0,186042.35,386812.0,151303.12,192517.02,0.0143496110537923,0.1688105607886829,15.884042462335731,1.0,0.020096904558451,0.9691120096558076,100199.99999999996,4.0402,4.8477000000000015,10.7458,1.0,8.4389612,2.9137916666666666,2.515166666666667,7.3343,1.0,6.8362565166666664,12.0,1.0,1453795969.8899999,2598389048.12,1144593078.23,10.0,9.0,0.6942029003632567,1.0,10.0,810202256.89,1415755137.02,605552880.13,12.13,10.0,1.0,10.0
000021.SZ,20260625,54.0,35.0,36.0,46.0,19.5,39.26666666666667,6.4,0.0,0,0.0058270676691727,,,,0.239804241435563,0.3796680497925311,True,54.27,54.27,36.46,34.85,0.0197162336465819,0.0197162336465819,0.9449021627188464,10.0,10.0,-2.0994,4.47142,4.031896160567631,4.169242412297466,1947937.654,1702928.281,9265346.611048,1.152473004148828,1.2867728893794144,1.0,2.0,0.0,5.032822757111588,1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.515615675353099,47.136563876651934,73.7501,6.269,8375647.336,8374420.012,14.2614,21.6781,1.23,103558.0303,-33435.87,-64175.0,305861.76,576025.0,369595.25,695716.0,251305.08,473129.0,318883.65,600668.0,286974.95,192071.85,0.0135593036484018,0.1595150741745095,15.940692380978843,1.0,-0.0039926191846227,0.8275564484217576,-67578.57000000004,7.0396,8.9655,12.303899999999999,2.0,8.482123,2.9963083333333334,3.5704500000000006,7.136991666666667,2.0,7.038925516666666,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260626,54.0,32.0,19.0,0.0,28.5,36.62857142857143,2.5,0.0,0,,,,,0.2150317892824704,0.3692425793244627,True,57.63,57.63,36.46,34.85,0.0714905431199029,0.0714905431199029,0.8191395961369621,10.0,10.0,-2.0994,4.06128,4.2938021581810215,4.236301242699815,2025296.112,1800393.7710000002,10110718.696342,1.1222514656167968,1.232679093367432,1.0,3.0,0.0,-0.3759398496240629,0.0,0.0,1.0,1.0,1.0,2.0,0.0,10.169172932330833,76.15526802218118,74.1799,6.3056,8424452.7998,8423218.3241,14.4389,21.948,1.17,103558.0303,13133.97,24151.0,342760.09,624431.0,344374.68,628016.0,271683.11,496642.0,351712.19,642074.0,277836.99,229750.95,0.0134807407397421,0.1585891905607713,15.94650253695446,1.0,0.001559257933802,0.995308640842466,-80029.08000000002,-0.4163,10.396700000000001,10.6154,0.0,8.877388999999999,-1.8808333333333334,4.029266666666667,3.630641666666667,0.0,7.256679366666667,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
