code,trade_date,label,position_20d,trailing_10,trailing_5,pct_chg_std_10d,pct_chg_std_5d,limit_up_count_20d,limit_up_count_60d,avg_amount_5d,pct_chg_score_day,turnover_rate,volume_ratio,circ_mv,pe,pb
000899.SZ,20260519,1,0.2635983263598329,0.004636785162287493,-0.041297935103244865,2.9947306879918267,2.859586913104758,0,0,610309621.5999999,0.6192,1.9763,0.42,1268381.088,12.6005,1.906
600310.SH,20260519,1,0.5319148936170216,0.00988142292490135,-0.04485981308411202,3.009081493562446,3.28129832804029,0,0,806744920.4,0.1961,5.4613,0.51,748978.1789,999.0,2.7569
605376.SH,20260519,1,0.3463999999999999,-0.013626483865574412,-0.1447521020585678,4.463587347963519,2.5818111709418257,0,0,1404605750.6000001,-4.0732,4.3864,1.01,3086618.4,140.8208,17.5346
002173.SZ,20260519,1,0.13753581661891034,-0.00474342388960769,-0.048639736191261496,2.4111553322007278,2.6714737583588577,0,0,515175635.6,-1.0716,3.1011,0.54,971356.4915,999.0,5.9051
002135.SZ,20260519,1,0.41851851851851846,0.027954256670902122,-0.13475935828877006,4.617651172934136,3.3398229980644185,0,0,435101076.79999995,-0.6143,3.5328,0.73,844492.1204,184.2162,1.4552
600758.SH,20260519,1,0.7913043478260868,0.15479115479115468,0.1633663366336633,5.1911446624516255,6.758665803070898,0,0,651054814.8000001,10.0703,7.1378,0.68,620749.3952,999.0,1.1644
603999.SH,20260519,1,0.5384615384615377,0.007440476190476275,-0.004411764705882337,1.7484838283781752,2.4104814377215185,0,0,67122624.8,3.3588,3.3765,2.5,389952.0,45.6116,1.8787
605358.SH,20260519,1,0.7657142857142858,0.28523833931317255,0.00019944156362172727,3.7318696414665933,2.271940885322503,0,0,2687840608.3999996,-2.8289,6.1856,0.7,3366959.7172,999.0,4.8241
600626.SH,20260519,1,0.2777777777777781,-0.025445292620865145,-0.04488778054862841,2.7716584905251223,3.5096958477908027,0,0,95016738.80000001,-4.01,3.3045,1.76,424355.8459,1254.7141,1.577
600903.SH,20260519,1,1.0,0.3553846153846154,0.3722741433021808,4.707539892650937,4.4881434681168555,0,0,622167421.1999999,9.9875,8.0401,1.44,1013158.2884,214.9821,3.3103
603823.SH,20260519,1,0.8759455370650528,0.30461922596754043,0.15597345132743357,2.6732835477928636,3.1502595185793822,0,0,326784142.2,1.8519,3.0924,0.81,870208.5014,52.1294,3.4748
002123.SZ,20260519,1,0.14285714285714318,-0.014767932489451518,-0.0565656565656566,1.9580840908653538,2.217309842669716,0,0,152666191.0,1.6322,1.9601,0.86,672976.9431,999.0,4.9436
000417.SZ,20260519,1,1.0,0.20152671755725193,0.11789772727272729,3.613336284668229,4.590574567959876,0,0,288745340.20000005,10.0699,1.2161,0.21,613094.6039,38.3091,1.2882
002375.SZ,20260519,1,0.47154471544715415,0.06490384615384603,-0.0022522522522524513,4.1010021433303345,5.485584165938939,0,0,265277871.60000002,-1.9912,2.7565,0.63,589631.4322,17.9907,0.7131
002484.SZ,20260519,1,0.9913378248315688,0.39732844421162916,0.15651419900281804,4.820400854078423,5.451360458454384,0,0,2743097182.6,9.6383,9.1104,1.44,4377219.5338,67.2633,7.0616
600831.SH,20260519,1,0.8101265822784816,0.028350515463917647,0.020460358056265893,2.1515648501497693,2.892979982924182,0,0,79866447.2,6.117,8.9315,6.31,283667.8498,999.0,8.0044
600186.SH,20260519,1,0.7406483790523689,-0.02865064695009245,0.02038834951456292,3.9177186410460876,3.7539082473603425,0,0,2570379605.8000007,1.6441,12.0792,0.79,1880384.3438,60.9536,9.9802
600481.SH,20260519,1,0.5871559633027521,0.0667752442996743,0.01393188854489158,3.536409470649574,4.869000682439878,0,0,1321288761.9999998,-3.1065,7.7934,0.89,1352038.9231,999.0,3.1145
603779.SH,20260519,1,1.0,0.7512038523274478,0.5697841726618704,4.665842369015481,1.1252567251965213,0,0,83816191.60000001,9.9798,1.0131,0.19,362302.2846,999.0,7.3952
603163.SH,20260519,1,0.7084188911704314,0.10813779331003492,0.045009416195856966,2.2919416828532095,2.2752491937368093,0,0,435736416.6,0.2077,4.9849,1.35,1109800.0,71.8103,9.2854
